id	name	version	title	discoveryURL	documentationURL	description
alloydb:v1alpha	alloydb	v1alpha	AlloyDB API	https://alloydb.googleapis.com/$discovery/rest?version=v1alpha	https://cloud.google.com/alloydb/	AlloyDB for PostgreSQL is an open source-compatible database service that provides a powerful option for migrating, modernizing, or building commercial-grade applications. It offers full compatibility with standard PostgreSQL, and is more than 4x faster for transactional workloads and up to 100x faster for analytical queries than standard PostgreSQL in our performance tests. AlloyDB for PostgreSQL offers a 99.99 percent availability SLA inclusive of maintenance. AlloyDB is optimized for the most demanding use cases, allowing you to build new applications that require high transaction throughput, large database sizes, or multiple read resources; scale existing PostgreSQL workloads with no application changes; and modernize legacy proprietary databases.
alloydb:v1beta	alloydb	v1beta	AlloyDB API	https://alloydb.googleapis.com/$discovery/rest?version=v1beta	https://cloud.google.com/alloydb/	AlloyDB for PostgreSQL is an open source-compatible database service that provides a powerful option for migrating, modernizing, or building commercial-grade applications. It offers full compatibility with standard PostgreSQL, and is more than 4x faster for transactional workloads and up to 100x faster for analytical queries than standard PostgreSQL in our performance tests. AlloyDB for PostgreSQL offers a 99.99 percent availability SLA inclusive of maintenance. AlloyDB is optimized for the most demanding use cases, allowing you to build new applications that require high transaction throughput, large database sizes, or multiple read resources; scale existing PostgreSQL workloads with no application changes; and modernize legacy proprietary databases.
alloydb:v1	alloydb	v1	AlloyDB API	https://alloydb.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/alloydb/	AlloyDB for PostgreSQL is an open source-compatible database service that provides a powerful option for migrating, modernizing, or building commercial-grade applications. It offers full compatibility with standard PostgreSQL, and is more than 4x faster for transactional workloads and up to 100x faster for analytical queries than standard PostgreSQL in our performance tests. AlloyDB for PostgreSQL offers a 99.99 percent availability SLA inclusive of maintenance. AlloyDB is optimized for the most demanding use cases, allowing you to build new applications that require high transaction throughput, large database sizes, or multiple read resources; scale existing PostgreSQL workloads with no application changes; and modernize legacy proprietary databases.
analytics:v3	analytics	v3	Google Analytics API	https://analytics.googleapis.com/$discovery/rest?version=v3	http://code.google.com/apis/analytics/docs/mgmt/home.html	The Analytics API provides access to Analytics configuration and report data.
analyticsadmin:v1alpha	analyticsadmin	v1alpha	Google Analytics Admin API	https://analyticsadmin.googleapis.com/$discovery/rest?version=v1alpha	http://code.google.com/apis/analytics/docs/mgmt/home.html	Manage properties in Google Analytics. Warning: Creating multiple Customer Applications, Accounts, or Projects to simulate or act as a single Customer Application, Account, or Project (respectively) or to circumvent Service-specific usage limits or quotas is a direct violation of Google Cloud Platform Terms of Service as well as Google APIs Terms of Service. These actions can result in immediate termination of your GCP project(s) without any warning.
analyticsadmin:v1beta	analyticsadmin	v1beta	Google Analytics Admin API	https://analyticsadmin.googleapis.com/$discovery/rest?version=v1beta	http://code.google.com/apis/analytics/docs/mgmt/home.html	Manage properties in Google Analytics. Warning: Creating multiple Customer Applications, Accounts, or Projects to simulate or act as a single Customer Application, Account, or Project (respectively) or to circumvent Service-specific usage limits or quotas is a direct violation of Google Cloud Platform Terms of Service as well as Google APIs Terms of Service. These actions can result in immediate termination of your GCP project(s) without any warning.
analyticsdata:v1beta	analyticsdata	v1beta	Google Analytics Data API	https://analyticsdata.googleapis.com/$discovery/rest?version=v1beta	https://developers.google.com/analytics/devguides/reporting/data/v1/	Accesses report data in Google Analytics. Warning: Creating multiple Customer Applications, Accounts, or Projects to simulate or act as a single Customer Application, Account, or Project (respectively) or to circumvent Service-specific usage limits or quotas is a direct violation of Google Cloud Platform Terms of Service as well as Google APIs Terms of Service. These actions can result in immediate termination of your GCP project(s) without any warning.
analyticshub:v1beta1	analyticshub	v1beta1	Analytics Hub API	https://analyticshub.googleapis.com/$discovery/rest?version=v1beta1	https://cloud.google.com/bigquery/docs/analytics-hub-introduction	Exchange data and analytics assets securely and efficiently.
analyticshub:v1	analyticshub	v1	Analytics Hub API	https://analyticshub.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/bigquery/docs/analytics-hub-introduction	Exchange data and analytics assets securely and efficiently.
analyticsreporting:v4	analyticsreporting	v4	Analytics Reporting API	https://analyticsreporting.googleapis.com/$discovery/rest?version=v4	https://developers.google.com/analytics/devguides/reporting/core/v4/	Accesses Analytics report data.
androiddeviceprovisioning:v1	androiddeviceprovisioning	v1	Android Device Provisioning Partner API	https://androiddeviceprovisioning.googleapis.com/$discovery/rest?version=v1	https://developers.google.com/zero-touch/	Automates Android zero-touch enrollment for device resellers, customers, and EMMs.
androidenterprise:v1	androidenterprise	v1	Google Play EMM API	https://androidenterprise.googleapis.com/$discovery/rest?version=v1	notfound	Manages the deployment of apps to Android Enterprise devices.
androidmanagement:v1	androidmanagement	v1	Android Management API	https://androidmanagement.googleapis.com/$discovery/rest?version=v1	https://developers.google.com/android/management	The Android Management API provides remote enterprise management of Android devices and apps.
androidpublisher:v3	androidpublisher	v3	Google Play Android Developer API	https://androidpublisher.googleapis.com/$discovery/rest?version=v3	https://developers.google.com/android-publisher	Lets Android application developers access their Google Play accounts. At a high level, the expected workflow is to "insert" an Edit, make changes as necessary, and then "commit" it.
apigateway:v1beta	apigateway	v1beta	API Gateway API	https://apigateway.googleapis.com/$discovery/rest?version=v1beta	https://cloud.google.com/api-gateway/docs	
apigateway:v1	apigateway	v1	API Gateway API	https://apigateway.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/api-gateway/docs	
apigee:v1	apigee	v1	Apigee API	https://apigee.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/apigee-api-management/	Use the Apigee API to programmatically develop and manage APIs with a set of RESTful operations. Develop and secure API proxies, deploy and undeploy API proxy revisions, monitor APIs, configure environments, manage users, and more. Note: This product is available as a free trial for a time period of 60 days.
apigeeregistry:v1	apigeeregistry	v1	Apigee Registry API	https://apigeeregistry.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/apigee/docs/api-hub/what-is-api-hub	
apikeys:v2	apikeys	v2	API Keys API	https://apikeys.googleapis.com/$discovery/rest?version=v2	https://cloud.google.com/api-keys/docs	Manages the API keys associated with developer projects.
apim:v1alpha	apim	v1alpha	API Management API	https://apim.googleapis.com/$discovery/rest?version=v1alpha	https://cloud.google.com/apigee/	Enables users to discover shadow APIs in existing Google Cloud infrastructure.
appengine:v1alpha	appengine	v1alpha	App Engine Admin API	https://appengine.googleapis.com/$discovery/rest?version=v1alpha	https://cloud.google.com/appengine/docs/admin-api/	Provisions and manages developers' App Engine applications.
appengine:v1beta	appengine	v1beta	App Engine Admin API	https://appengine.googleapis.com/$discovery/rest?version=v1beta	https://cloud.google.com/appengine/docs/admin-api/	Provisions and manages developers' App Engine applications.
appengine:v1	appengine	v1	App Engine Admin API	https://appengine.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/appengine/docs/admin-api/	Provisions and manages developers' App Engine applications.
apphub:v1alpha	apphub	v1alpha	App Hub API	https://apphub.googleapis.com/$discovery/rest?version=v1alpha	https://cloud.google.com/app-hub/docs/	
apphub:v1	apphub	v1	App Hub API	https://apphub.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/app-hub/docs/	
area120tables:v1alpha1	area120tables	v1alpha1	Area120 Tables API	https://area120tables.googleapis.com/$discovery/rest?version=v1alpha1	https://support.google.com/area120-tables/answer/10011390	
artifactregistry:v1beta1	artifactregistry	v1beta1	Artifact Registry API	https://artifactregistry.googleapis.com/$discovery/rest?version=v1beta1	https://cloud.google.com/artifacts/docs/	Store and manage build artifacts in a scalable and integrated service built on Google infrastructure.
artifactregistry:v1beta2	artifactregistry	v1beta2	Artifact Registry API	https://artifactregistry.googleapis.com/$discovery/rest?version=v1beta2	https://cloud.google.com/artifacts/docs/	Store and manage build artifacts in a scalable and integrated service built on Google infrastructure.
artifactregistry:v1	artifactregistry	v1	Artifact Registry API	https://artifactregistry.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/artifacts/docs/	Store and manage build artifacts in a scalable and integrated service built on Google infrastructure.
assuredworkloads:v1beta1	assuredworkloads	v1beta1	Assured Workloads API	https://assuredworkloads.googleapis.com/$discovery/rest?version=v1beta1	https://cloud.google.com/learnmoreurl	
assuredworkloads:v1	assuredworkloads	v1	Assured Workloads API	https://assuredworkloads.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/learnmoreurl	
authorizedbuyersmarketplace:v1alpha	authorizedbuyersmarketplace	v1alpha	Authorized Buyers Marketplace API	https://authorizedbuyersmarketplace.googleapis.com/$discovery/rest?version=v1alpha	https://developers.google.com/authorized-buyers/apis/marketplace/reference/rest/	The Authorized Buyers Marketplace API lets buyers programmatically discover inventory; propose, retrieve and negotiate deals with publishers.
authorizedbuyersmarketplace:v1	authorizedbuyersmarketplace	v1	Authorized Buyers Marketplace API	https://authorizedbuyersmarketplace.googleapis.com/$discovery/rest?version=v1	https://developers.google.com/authorized-buyers/apis/marketplace/reference/rest/	The Authorized Buyers Marketplace API lets buyers programmatically discover inventory; propose, retrieve and negotiate deals with publishers.
backupdr:v1	backupdr	v1	Backup and DR Service API	https://backupdr.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/backup-disaster-recovery	
baremetalsolution:v2	baremetalsolution	v2	Bare Metal Solution API	https://baremetalsolution.googleapis.com/$discovery/rest?version=v2	https://cloud.google.com/bare-metal	Provides ways to manage Bare Metal Solution hardware installed in a regional extension located near a Google Cloud data center.
batch:v1	batch	v1	Batch API	https://batch.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/batch/	An API to manage the running of Batch resources on Google Cloud Platform.
beyondcorp:v1alpha	beyondcorp	v1alpha	BeyondCorp API	https://beyondcorp.googleapis.com/$discovery/rest?version=v1alpha	https://cloud.google.com/	Beyondcorp Enterprise provides identity and context aware access controls for enterprise resources and enables zero-trust access. Using the Beyondcorp Enterprise APIs, enterprises can set up multi-cloud and on-prem connectivity solutions.
beyondcorp:v1	beyondcorp	v1	BeyondCorp API	https://beyondcorp.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/	Beyondcorp Enterprise provides identity and context aware access controls for enterprise resources and enables zero-trust access. Using the Beyondcorp Enterprise APIs, enterprises can set up multi-cloud and on-prem connectivity solutions.
biglake:v1	biglake	v1	BigLake API	https://biglake.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/bigquery/	The BigLake API provides access to BigLake Metastore, a serverless, fully managed, and highly available metastore for open-source data that can be used for querying Apache Iceberg tables in BigQuery.
bigquery:v2	bigquery	v2	BigQuery API	https://bigquery.googleapis.com/$discovery/rest?version=v2	https://cloud.google.com/bigquery/	A data platform for customers to create, manage, share and query data.
bigqueryconnection:v1beta1	bigqueryconnection	v1beta1	BigQuery Connection API	https://bigqueryconnection.googleapis.com/$discovery/rest?version=v1beta1	https://cloud.google.com/bigquery/docs/connections-api-intro	Allows users to manage BigQuery connections to external data sources.
bigqueryconnection:v1	bigqueryconnection	v1	BigQuery Connection API	https://bigqueryconnection.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/bigquery/docs/connections-api-intro	Allows users to manage BigQuery connections to external data sources.
bigquerydatapolicy:v1	bigquerydatapolicy	v1	BigQuery Data Policy API	https://bigquerydatapolicy.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/bigquery/docs/column-data-masking	Allows users to manage BigQuery data policies.
bigquerydatatransfer:v1	bigquerydatatransfer	v1	BigQuery Data Transfer API	https://bigquerydatatransfer.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/bigquery-transfer/	Schedule queries or transfer external data from SaaS applications to Google BigQuery on a regular basis.
bigqueryreservation:v1	bigqueryreservation	v1	BigQuery Reservation API	https://bigqueryreservation.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/bigquery/	A service to modify your BigQuery flat-rate reservations.
bigtableadmin:v2	bigtableadmin	v2	Cloud Bigtable Admin API	https://bigtableadmin.googleapis.com/$discovery/rest?version=v2	https://cloud.google.com/bigtable/	Administer your Cloud Bigtable tables and instances.
billingbudgets:v1beta1	billingbudgets	v1beta1	Cloud Billing Budget API	https://billingbudgets.googleapis.com/$discovery/rest?version=v1beta1	https://cloud.google.com/billing/docs/how-to/budget-api-overview	The Cloud Billing Budget API stores Cloud Billing budgets, which define a budget plan and the rules to execute as spend is tracked against that plan.
billingbudgets:v1	billingbudgets	v1	Cloud Billing Budget API	https://billingbudgets.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/billing/docs/how-to/budget-api-overview	The Cloud Billing Budget API stores Cloud Billing budgets, which define a budget plan and the rules to execute as spend is tracked against that plan.
binaryauthorization:v1beta1	binaryauthorization	v1beta1	Binary Authorization API	https://binaryauthorization.googleapis.com/$discovery/rest?version=v1beta1	https://cloud.google.com/binary-authorization/	The management interface for Binary Authorization, a service that provides policy-based deployment validation and control for images deployed to Google Kubernetes Engine (GKE), Anthos Service Mesh, Anthos Clusters, and Cloud Run.
binaryauthorization:v1	binaryauthorization	v1	Binary Authorization API	https://binaryauthorization.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/binary-authorization/	The management interface for Binary Authorization, a service that provides policy-based deployment validation and control for images deployed to Google Kubernetes Engine (GKE), Anthos Service Mesh, Anthos Clusters, and Cloud Run.
blockchainnodeengine:v1	blockchainnodeengine	v1	Blockchain Node Engine API	https://blockchainnodeengine.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/blockchain-node-engine	
blogger:v2	blogger	v2	Blogger API	https://blogger.googleapis.com/$discovery/rest?version=v2	https://developers.google.com/blogger/docs/3.0/getting_started	The Blogger API provides access to posts, comments and pages of a Blogger blog.
blogger:v3	blogger	v3	Blogger API	https://blogger.googleapis.com/$discovery/rest?version=v3	https://developers.google.com/blogger/docs/3.0/getting_started	The Blogger API provides access to posts, comments and pages of a Blogger blog.
books:v1	books	v1	Books API	https://books.googleapis.com/$discovery/rest?version=v1	https://code.google.com/apis/books/docs/v1/getting_started.html	The Google Books API allows clients to access the Google Books repository.
businessprofileperformance:v1	businessprofileperformance	v1	Business Profile Performance API	https://businessprofileperformance.googleapis.com/$discovery/rest?version=v1	https://developers.google.com/my-business/	The Business Profile Performance API allows merchants to fetch performance reports about their business profile on Google. Note - If you have a quota of 0 after enabling the API, please request <https://developers.google.com/my-business/content/prereqs#request-access> for GBP API access.
calendar:v3	calendar	v3	Google Calendar API	https://calendar-json.googleapis.com/$discovery/rest?version=v3	http://code.google.com/apis/calendar/v3/	The Google Calendar API lets you manage your calendars and events.
certificatemanager:v1	certificatemanager	v1	Certificate Manager API	https://certificatemanager.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/certificate-manager	
chat:v1	chat	v1	Google Chat API	https://chat.googleapis.com/$discovery/rest?version=v1	https://developers.google.com/hangouts/chat	The Google Chat API lets you build Chat apps to integrate your services with Google Chat and manage Chat resources such as spaces, members, and messages.
checks:v1alpha	checks	v1alpha	Checks API	https://checks.googleapis.com/$discovery/rest?version=v1alpha	https://developers.google.com/checks	The Checks API contains powerful and easy-to-use privacy and compliance APIs that interact with the Checks product and its underlying technology.
chromemanagement:v1	chromemanagement	v1	Chrome Management API	https://chromemanagement.googleapis.com/$discovery/rest?version=v1	http://developers.google.com/chrome/management/	The Chrome Management API is a suite of services that allows Chrome administrators to view, manage and gain insights on their Chrome OS and Chrome Browser devices.
chromepolicy:v1	chromepolicy	v1	Chrome Policy API	https://chromepolicy.googleapis.com/$discovery/rest?version=v1	http://developers.google.com/chrome/policy	The Chrome Policy API is a suite of services that allows Chrome administrators to control the policies applied to their managed Chrome OS devices and Chrome browsers.
chromeuxreport:v1	chromeuxreport	v1	Chrome UX Report API	https://chromeuxreport.googleapis.com/$discovery/rest?version=v1	https://developers.google.com/web/tools/chrome-user-experience-report/api/reference	The Chrome UX Report API lets you view real user experience data for millions of websites.
civicinfo:v2	civicinfo	v2	Google Civic Information API	https://civicinfo.googleapis.com/$discovery/rest?version=v2	https://developers.google.com/civic-information/	Provides polling places, early vote locations, contest data, election officials, and government representatives for U.S. residential addresses.
classroom:v1	classroom	v1	Google Classroom API	https://classroom.googleapis.com/$discovery/rest?version=v1	https://developers.google.com/classroom	Manages classes, rosters, and invitations in Google Classroom.
cloudasset:v1p1beta1	cloudasset	v1p1beta1	Cloud Asset API	https://cloudasset.googleapis.com/$discovery/rest?version=v1p1beta1	https://cloud.google.com/asset-inventory/docs/quickstart	The Cloud Asset API manages the history and inventory of Google Cloud resources.
cloudasset:v1p5beta1	cloudasset	v1p5beta1	Cloud Asset API	https://cloudasset.googleapis.com/$discovery/rest?version=v1p5beta1	https://cloud.google.com/asset-inventory/docs/quickstart	The Cloud Asset API manages the history and inventory of Google Cloud resources.
cloudasset:v1p7beta1	cloudasset	v1p7beta1	Cloud Asset API	https://cloudasset.googleapis.com/$discovery/rest?version=v1p7beta1	https://cloud.google.com/asset-inventory/docs/quickstart	The Cloud Asset API manages the history and inventory of Google Cloud resources.
cloudasset:v1beta1	cloudasset	v1beta1	Cloud Asset API	https://cloudasset.googleapis.com/$discovery/rest?version=v1beta1	https://cloud.google.com/asset-inventory/docs/quickstart	The Cloud Asset API manages the history and inventory of Google Cloud resources.
cloudasset:v1	cloudasset	v1	Cloud Asset API	https://cloudasset.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/asset-inventory/docs/quickstart	The Cloud Asset API manages the history and inventory of Google Cloud resources.
cloudbilling:v1beta	cloudbilling	v1beta	Cloud Billing API	https://cloudbilling.googleapis.com/$discovery/rest?version=v1beta	https://cloud.google.com/billing/docs/apis	Allows developers to manage billing for their Google Cloud Platform projects programmatically.
cloudbilling:v1	cloudbilling	v1	Cloud Billing API	https://cloudbilling.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/billing/docs/apis	Allows developers to manage billing for their Google Cloud Platform projects programmatically.
cloudbuild:v1	cloudbuild	v1	Cloud Build API	https://cloudbuild.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/cloud-build/docs/	Creates and manages builds on Google Cloud Platform.
cloudbuild:v2	cloudbuild	v2	Cloud Build API	https://cloudbuild.googleapis.com/$discovery/rest?version=v2	https://cloud.google.com/cloud-build/docs/	Creates and manages builds on Google Cloud Platform.
cloudchannel:v1	cloudchannel	v1	Cloud Channel API	https://cloudchannel.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/channel	The Cloud Channel API enables Google Cloud partners to have a single unified resale platform and APIs across all of Google Cloud including GCP, Workspace, Maps and Chrome.
cloudcontrolspartner:v1beta	cloudcontrolspartner	v1beta	Cloud Controls Partner API	https://cloudcontrolspartner.googleapis.com/$discovery/rest?version=v1beta	https://cloud.google.com/sovereign-controls-by-partners/docs/sovereign-partners/reference/rest	Provides insights about your customers and their Assured Workloads based on your Sovereign Controls by Partners offering.
cloudcontrolspartner:v1	cloudcontrolspartner	v1	Cloud Controls Partner API	https://cloudcontrolspartner.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/sovereign-controls-by-partners/docs/sovereign-partners/reference/rest	Provides insights about your customers and their Assured Workloads based on your Sovereign Controls by Partners offering.
clouddeploy:v1	clouddeploy	v1	Cloud Deploy API	https://clouddeploy.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/deploy/	
clouderrorreporting:v1beta1	clouderrorreporting	v1beta1	Error Reporting API	https://clouderrorreporting.googleapis.com/$discovery/rest?version=v1beta1	https://cloud.google.com/error-reporting/	Groups and counts similar errors from cloud services and applications, reports new errors, and provides access to error groups and their associated errors.
cloudfunctions:v2alpha	cloudfunctions	v2alpha	Cloud Functions API	https://cloudfunctions.googleapis.com/$discovery/rest?version=v2alpha	https://cloud.google.com/functions	Manages lightweight user-provided functions executed in response to events.
cloudfunctions:v2beta	cloudfunctions	v2beta	Cloud Functions API	https://cloudfunctions.googleapis.com/$discovery/rest?version=v2beta	https://cloud.google.com/functions	Manages lightweight user-provided functions executed in response to events.
cloudfunctions:v1	cloudfunctions	v1	Cloud Functions API	https://cloudfunctions.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/functions	Manages lightweight user-provided functions executed in response to events.
cloudfunctions:v2	cloudfunctions	v2	Cloud Functions API	https://cloudfunctions.googleapis.com/$discovery/rest?version=v2	https://cloud.google.com/functions	Manages lightweight user-provided functions executed in response to events.
cloudidentity:v1beta1	cloudidentity	v1beta1	Cloud Identity API	https://cloudidentity.googleapis.com/$discovery/rest?version=v1beta1	https://cloud.google.com/identity/	API for provisioning and managing identity resources.
cloudidentity:v1	cloudidentity	v1	Cloud Identity API	https://cloudidentity.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/identity/	API for provisioning and managing identity resources.
cloudkms:v1	cloudkms	v1	Cloud Key Management Service (KMS) API	https://cloudkms.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/kms/	Manages keys and performs cryptographic operations in a central cloud service, for direct use by other cloud resources and applications.
cloudprofiler:v2	cloudprofiler	v2	Cloud Profiler API	https://cloudprofiler.googleapis.com/$discovery/rest?version=v2	https://cloud.google.com/profiler/	Manages continuous profiling information.
cloudresourcemanager:v1beta1	cloudresourcemanager	v1beta1	Cloud Resource Manager API	https://cloudresourcemanager.googleapis.com/$discovery/rest?version=v1beta1	https://cloud.google.com/resource-manager	Creates, reads, and updates metadata for Google Cloud Platform resource containers.
cloudresourcemanager:v2beta1	cloudresourcemanager	v2beta1	Cloud Resource Manager API	https://cloudresourcemanager.googleapis.com/$discovery/rest?version=v2beta1	https://cloud.google.com/resource-manager	Creates, reads, and updates metadata for Google Cloud Platform resource containers.
cloudresourcemanager:v1	cloudresourcemanager	v1	Cloud Resource Manager API	https://cloudresourcemanager.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/resource-manager	Creates, reads, and updates metadata for Google Cloud Platform resource containers.
cloudresourcemanager:v2	cloudresourcemanager	v2	Cloud Resource Manager API	https://cloudresourcemanager.googleapis.com/$discovery/rest?version=v2	https://cloud.google.com/resource-manager	Creates, reads, and updates metadata for Google Cloud Platform resource containers.
cloudresourcemanager:v3	cloudresourcemanager	v3	Cloud Resource Manager API	https://cloudresourcemanager.googleapis.com/$discovery/rest?version=v3	https://cloud.google.com/resource-manager	Creates, reads, and updates metadata for Google Cloud Platform resource containers.
cloudscheduler:v1beta1	cloudscheduler	v1beta1	Cloud Scheduler API	https://cloudscheduler.googleapis.com/$discovery/rest?version=v1beta1	https://cloud.google.com/scheduler/	Creates and manages jobs run on a regular recurring schedule.
cloudscheduler:v1	cloudscheduler	v1	Cloud Scheduler API	https://cloudscheduler.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/scheduler/	Creates and manages jobs run on a regular recurring schedule.
cloudsearch:v1	cloudsearch	v1	Cloud Search API	https://cloudsearch.googleapis.com/$discovery/rest?version=v1	https://developers.google.com/cloud-search/docs/guides/	Cloud Search provides cloud-based search capabilities over Google Workspace data. The Cloud Search API allows indexing of non-Google Workspace data into Cloud Search.
